hypocenter_type	quality	year	month	day	hour	minute	second	latitude	longitude	depth	magnitude_1	magnitude_2	region	eventname

SWEM	A	1993	1	24	10	21	4.00	68.5000	-33.5000	10.0	0.0	5.1	EASTERNGREENLAND	199301241021A

SWEM	B	1993	7	26	12	26	40.00	65.7500	-41.2500	10.0	0.0	4.9	WESTERNGREENLAND	199307261226A

SWEM	A	1993	8	5	2	0	40.00	68.7500	-32.7500	10.0	0.0	4.9	EASTERNGREENLAND	199308050200A

SWEM	C	1993	10	19	21	10	0.00	66.5000	-37.5000	10.0	0.0	4.8	EASTERNGREENLAND	199310192110A

SWEM	C	1993	11	30	7	33	52.00	67.5000	-33.5000	10.0	0.0	5.0	EASTERNGREENLAND	199311300733A

SWEM	B	1993	12	10	15	24	56.00	67.2500	-34.2500	10.0	0.0	5.0	EASTERNGREENLAND	199312101524A

SWEM	B	1994	3	31	0	7	4.00	68.5000	-33.5000	10.0	0.0	4.8	EASTERNGREENLAND	199403310007A

SWEM	C	1994	4	6	18	1	28.00	65.7500	-41.2500	10.0	0.0	4.8	WESTERNGREENLAND	199404061801A

SWEM	C	1994	8	16	8	58	48.00	65.2500	-40.7500	10.0	0.0	4.7	WESTERNGREENLAND	199408160858A

SWEM	A	1994	8	21	8	36	48.00	68.5000	-33.5000	10.0	0.0	5.0	EASTERNGREENLAND	199408210836A

SWEM	B	1994	8	21	9	46	56.00	72.5000	-28.5000	10.0	0.0	4.8	EASTERNGREENLAND	199408210946A

SWEM	C	1994	8	26	6	11	28.00	72.2500	-51.2500	10.0	0.0	4.9	WESTERNGREENLAND	199408260611A

SWEM	E	1994	10	26	4	59	36.00	68.2500	-32.7500	10.0	0.0	4.9	EASTERNGREENLAND	199410260459A

SWEM	A	1994	11	26	4	11	4.00	69.2500	-31.2500	10.0	0.0	4.9	EASTERNGREENLAND	199411260411B

SWEM	B	1995	7	18	5	30	56.00	69.0000	-31.0000	10.0	0.0	4.9	EASTERNGREENLAND	199507180530A

SWEM	C	1995	7	24	23	3	52.00	67.2500	-33.2500	10.0	0.0	4.8	EASTERNGREENLAND	199507242303A

SWEM	C	1995	8	3	4	21	52.00	72.7500	-28.7500	10.0	0.0	4.9	EASTERNGREENLAND	199508030421A

SWEM	A	1995	9	4	0	25	12.00	69.0000	-33.0000	10.0	0.0	5.0	EASTERNGREENLAND	199509040025A

SWEM	C	1995	10	6	3	7	36.00	68.0000	-38.0000	10.0	0.0	4.9	EASTERNGREENLAND	199510060307A

SWEM	C	1995	11	8	22	20	32.00	70.5000	-27.5000	10.0	0.0	5.0	EASTERNGREENLAND	199511082220A

SWEM	C	1995	11	12	2	27	20.00	73.7500	-56.2500	10.0	0.0	4.7	WESTERNGREENLAND	199511120227A

SWEM	A	1995	12	11	9	35	44.00	68.5000	-31.5000	10.0	0.0	5.0	EASTERNGREENLAND	199512110935A

SWEM	B	1996	1	28	16	14	8.00	68.2500	-32.7500	10.0	0.0	4.9	EASTERNGREENLAND	199601281614A

SWEM	B	1996	5	14	13	50	16.00	66.2500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	199605141350A

